currenthost,metshsource,rep,block,embed,penet,hemocy,totalspore,hemocyperspore,bodysize,proppenet,gutwidth1,gutwidth2,gutwidth3,gutthick1,gutthick2,gutthick3,gutwidth,gutthick,infection
dent,dent,1,1,3,3,1,6,0.333333333,1456.1,0.5,15.19,15.08,17.58,55.65,59.59,57.58,15.95,57.60666667,1
dent,dent,2,1,8,9,39,17,4.333333333,1444.65,0.529411765,14.49,16.07,16.48,62.23,61.11,60.22,15.68,61.18666667,0
dent,dent,3,1,4,13,68,17,5.230769231,1449.14,0.764705882,16.55,15.31,14.44,74.26,75.07,69.62,15.43333333,72.98333333,0
dent,dent,4,1,8,8,19,16,2.375,1443.31,0.5,16.95,18.39,15.83,64.26,61.08,56.58,17.05666667,60.64,1
dent,dent,5,1,8,3,4,11,1.333333333,1287.25,0.272727273,14.31,15.73,16.51,53.22,53.34,50.61,15.51666667,52.39,0
dent,dent,6,1,6,3,15,9,5,1415.2,0.333333333,15.36,16.4,14.46,56.07,60.86,63.37,15.40666667,60.1,0
dent,dent,7,1,4,4,12,8,3,1496.15,0.5,14.43,15,14.49,65.41,65.48,58.1,14.64,62.99666667,1
dent,dent,8,1,6,11,23,17,2.090909091,1244.95,0.647058824,11.21,11.22,11.29,52.1,55.08,53.47,11.24,53.55,1
dent,dent,9,1,4,9,37,13,4.111111111,1361.6,0.692307692,13.81,14.2,14.37,52.6,59.58,55.84,14.12666667,56.00666667,1
dent,dent,10,1,3,2,4,5,2,1370.39,0.4,14.84,14.09,12.74,38.79,40.23,40.74,13.89,39.92,0
dent,cerio,1,1,1,0,0,1,,1478.99,0,12.46,13.82,13.2,46.45,50.66,53.7,13.16,50.27,0
dent,cerio,2,1,0,0,0,0,,1418.24,,14.78,16.77,16.3,60.17,62.86,62.81,15.95,61.94666667,0
dent,cerio,3,1,2,0,0,2,,1457.48,0,16.11,16.07,15.14,57.63,55.83,54.14,15.77333333,55.86666667,0
dent,cerio,4,1,2,0,0,2,,1463.71,0,17.26,16.81,16.2,51.44,49.84,52.05,16.75666667,51.11,0
dent,cerio,5,1,1,0,0,1,,1497.66,0,16.98,15.96,17.53,59.71,61.16,57.92,16.82333333,59.59666667,0
dent,cerio,6,1,4,0,0,4,,1358.53,0,16.81,16.62,15.85,52.1,55.14,58.32,16.42666667,55.18666667,0
dent,cerio,7,1,4,0,0,4,,1411.37,0,15.73,14.49,15.59,56.48,59.2,55.45,15.27,57.04333333,0
dent,cerio,8,1,2,0,0,2,,1393.09,0,13.98,14.88,14.15,53.02,55,54.54,14.33666667,54.18666667,0
dent,cerio,9,1,3,1,0,4,0,1405.05,0.25,17.5,17.98,14.58,53.55,55.86,57.73,16.68666667,55.71333333,0
dent,cerio,10,1,2,0,0,2,,1459.78,0,17.23,19.13,18.78,55.07,51.18,49.94,18.38,52.06333333,0
cerio,dent,2,1,2,2,7,4,3.5,542.75,0.5,7.96,8.62,9.3,24.14,24.2,27.08,8.626666667,25.14,0
cerio,dent,3,1,9,1,5,10,5,541.15,0.1,6.95,7.18,8.03,30.58,27,26.02,7.386666667,27.86666667,0
cerio,dent,4,1,1,2,3,3,1.5,553.02,0.666666667,7.19,7.91,8.36,26.93,27.1,29.45,7.82,27.82666667,0
cerio,dent,5,1,3,3,3,6,1,530.12,0.5,8.9,8.99,8.98,29.26,26.69,22.75,8.956666667,26.23333333,0
cerio,dent,6,1,0,2,3,2,1.5,557.66,1,8.59,8.1,9.36,27.56,25.49,22.26,8.683333333,25.10333333,0
cerio,dent,7,1,2,6,4,8,0.666666667,541.16,0.75,8.06,7.17,8.12,31.72,30.57,25.09,7.783333333,29.12666667,0
cerio,dent,8,1,1,3,4,4,1.333333333,560.68,0.75,7.37,8.15,7.81,30.41,25.94,22.88,7.776666667,26.41,0
cerio,dent,9,1,1,8,11,9,1.375,530.1,0.888888889,9.74,10,10.99,17.93,19.37,20.85,10.24333333,19.38333333,0
cerio,dent,10,1,2,2,6,4,3,569.22,0.5,7.31,6.55,6.72,23.2,25.49,27.73,6.86,25.47333333,0
cerio,cerio,1,1,4,0,0,4,,577.46,0,10.16,9.11,8.32,29.77,29.25,29.24,9.196666667,29.42,0
cerio,cerio,2,1,4,2,0,6,0,548.27,0.333333333,8.75,9.22,7.89,26.75,25.61,28.15,8.62,26.83666667,0
cerio,cerio,3,1,1,2,0,3,0,549.71,0.666666667,9.01,8.43,9.68,37.33,39.26,38.99,9.04,38.52666667,0
cerio,cerio,4,1,3,2,1,5,0.5,570.68,0.4,7.41,7.2,7.89,32.23,29.24,32.49,7.5,31.32,0
cerio,cerio,5,1,2,0,0,2,,590.57,0,9.95,9.98,9.79,27.44,30.42,29.69,9.906666667,29.18333333,0
cerio,cerio,6,1,1,0,0,1,,564.78,0,9.5,10.27,9.93,20.72,19.64,20.07,9.9,20.14333333,0
cerio,cerio,7,1,6,0,0,6,,578.33,0,9.22,9.44,9.51,25.76,25.04,27.29,9.39,26.03,0
cerio,cerio,8,1,2,0,0,2,,590.5,0,7.91,9.43,7.75,27.19,25.33,26.31,8.363333333,26.27666667,0
cerio,cerio,9,1,1,0,0,1,,554.19,0,10.31,11.4,10.31,21.2,19.43,21.32,10.67333333,20.65,0
cerio,cerio,10,1,4,1,1,5,1,595.15,0.2,10.51,8.85,9.51,27.41,29.95,30.13,9.623333333,29.16333333,0
cerio,cerio,1,2,3,0,0,3,,650.09,0,11.95,9.5,9.45,31.98,32.63,31.56,10.3,32.05666667,0
cerio,cerio,2,2,1,0,0,1,,627.36,0,9.08,11.73,10.16,23.29,22.94,26.69,10.32333333,24.30666667,0
cerio,cerio,3,2,3,0,0,3,,599.42,0,11.01,10.87,8.77,25.49,22.49,23.1,10.21666667,23.69333333,0
cerio,cerio,4,2,0,0,0,0,,546.23,,10.65,10.77,8.67,24.97,23.87,24.46,10.03,24.43333333,0
cerio,cerio,5,2,2,0,0,2,,596.89,0,11.43,11.1,10.92,19.05,18.39,19.75,11.15,19.06333333,0
cerio,cerio,6,2,1,1,0,2,0,585.45,0.5,9.11,8.6,8.92,24.1,26.04,26.67,8.876666667,25.60333333,0
cerio,cerio,7,2,0,0,0,0,,563.33,,10.27,10.34,9.97,24.41,22.81,22.11,10.19333333,23.11,0
cerio,cerio,8,2,0,0,0,0,,508.08,,9.4,10.21,9.78,23.35,24.3,26.13,9.796666667,24.59333333,0
cerio,cerio,9,2,1,0,0,1,,556.46,0,8.21,8.9,9.74,21.69,19.69,20.1,8.95,20.49333333,0
cerio,cerio,11,2,1,1,0,2,0,592.71,0.5,10.76,9.74,9.07,23.32,23.59,22.36,9.856666667,23.09,0
cerio,cerio,13,2,2,0,0,2,,528.93,0,6.8,7.2,6.35,20.87,20,19.49,6.783333333,20.12,0
cerio,cerio,14,2,2,0,0,2,,612.87,0,10.1,10.38,11.21,25.91,25.45,25.79,10.56333333,25.71666667,0
cerio,cerio,15,2,1,0,0,1,,605.83,0,9.7,9.19,9.88,22.88,20.77,15.25,9.59,19.63333333,0
cerio,cerio,16,2,2,1,0,3,0,604.18,0.333333333,14.4,15.14,13.64,21.47,26.4,32.15,14.39333333,26.67333333,0
cerio,cerio,17,2,1,0,0,1,,661.26,0,12.16,12.54,13.88,29.17,32.44,31.52,12.86,31.04333333,0
cerio,cerio,18,2,0,3,1,3,0.333333333,630.17,1,7.92,10.07,11.02,25.11,25.18,22.88,9.67,24.39,
cerio,cerio,19,2,1,0,0,1,,573.72,0,9.53,9.6,9.88,27.41,26.21,26.32,9.67,26.64666667,0
cerio,cerio,20,2,1,0,0,1,,585.94,0,11.88,9.38,12.82,23.73,27.69,26.2,11.36,25.87333333,0
cerio,dent,1,2,2,0,0,2,,618.43,0,9.88,8.38,9.36,28.92,30.87,23.83,9.206666667,27.87333333,0
cerio,dent,2,2,3,0,0,3,,582.2,0,10.7,9.99,9.63,28.27,27.19,24.87,10.10666667,26.77666667,0
cerio,dent,3,2,3,2,4,5,2,573.08,0.4,8.36,9.17,8.38,25.83,25.04,23.68,8.636666667,24.85,0
cerio,dent,7,2,2,0,0,2,,561.74,0,12.05,11.77,10.37,29.39,26.08,22.35,11.39666667,25.94,
cerio,dent,8,2,4,3,6,7,2,638.28,0.428571429,11.61,9.95,10.75,26.17,27.33,28.07,10.77,27.19,0
cerio,dent,10,2,6,1,0,7,0,538.28,0.142857143,10.55,9.3,8.77,33.5,30.97,28.17,9.54,30.88,0
cerio,dent,11,2,2,3,9,5,3,606.61,0.6,9.64,11.04,9.84,25.2,24.8,25.24,10.17333333,25.08,0
cerio,dent,12,2,2,3,10,5,3.333333333,560.28,0.6,11.76,10.49,11.63,24.07,19.03,20.03,11.29333333,21.04333333,0
cerio,dent,13,2,2,2,6,4,3,571.11,0.5,11.71,12.35,13.59,21.87,18.76,22.59,12.55,21.07333333,0
cerio,dent,14,2,2,4,5,6,1.25,606.81,0.666666667,9.67,10.55,10.24,24.02,28.12,29.78,10.15333333,27.30666667,0
cerio,dent,15,2,5,2,8,7,4,612.45,0.285714286,12.28,12.75,11.81,28.2,27.2,23.1,12.28,26.16666667,0
cerio,dent,16,2,2,0,0,2,,587.37,0,9.21,8.05,9.05,24.21,28.96,27.81,8.77,26.99333333,0
cerio,dent,18,2,4,3,3,7,1,637.24,0.428571429,8.98,12.4,12.43,28.13,23.33,18.39,11.27,23.28333333,0
